"stop_id","pid","reason_for_stop","reason_for_stopcode","reason_for_stop_code_text","reason_for_stop_detail","reason_for_stop_explanation"
"1","1","Traffic Violation","66551","26508(H) VC - AIR BRAKE HAZARD HWY VIOL (I) 66551","Moving Violation","as above"
"2","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","PUBLIC OFFENSE"
"3","1","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","vehicle failed to stop at limit line of red traffic light"
"4","1","Reasonable Suspicion","13174","243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174","Matched suspect description","subject matched suspect description"
"5","1","Traffic Violation","54306","22400(A) VC - DRIVE TOO SLOWLY/ETC (I) 54306","Moving Violation","PUBLIC OFFENSE"
"6","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","PUBLIC OFFENSE"
"7","1","Traffic Violation","54594","25400(B) VC - DIFFUSED LIGHT:NO RED (I) 54594","Equipment Violation","t stop brake light out"
"7","2","Traffic Violation","54594","25400(B) VC - DIFFUSED LIGHT:NO RED (I) 54594","Equipment Violation","t stop brake light out"
"7","3","Traffic Violation","54594","25400(B) VC - DIFFUSED LIGHT:NO RED (I) 54594","Equipment Violation","t stop brake light out"
"7","4","Traffic Violation","54594","25400(B) VC - DIFFUSED LIGHT:NO RED (I) 54594","Equipment Violation","t stop brake light out"
"8","1","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","limit line violation."
"8","2","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","limit line violation."
"9","1","Traffic Violation","54220","22100(A) VC - IMPROPER RIGHT HAND TURN (I) 54220","Moving Violation","Subject turned right from the middle lane of traffic and was a hazard to approaching traffic."
"10","1","Traffic Violation","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657","Non-moving Violation, including Registration Violation","EXPIRED REG"
"11","1","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","did not stop at red"
"12","1","Reasonable Suspicion","13242","4501(A) PC - ASSLT DEADLY WPN BY PRSNR (F) 13242","Witness or Victim identification of Suspect at the scene","Victim was walking on the street naked with laceration to his head"
"13","1","Traffic Violation","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967","Equipment Violation","light bulb lighting the rear license plate was not operating properly"
"13","2","Traffic Violation","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967","Equipment Violation","light bulb not operating properly for rear license plate"
"13","3","Traffic Violation","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967","Equipment Violation","light bulb not operating properly for rear license plate"
"14","1","Reasonable Suspicion","32139","602(L)(1) PC - TRESP REF LEAVE BY ORDER (M) 32139","Actions indicative of casing a victim or location","in private parking lot"
"14","1","Reasonable Suspicion","32139","602(L)(1) PC - TRESP REF LEAVE BY ORDER (M) 32139","Other Reasonable Suspicion of a crime","in private parking lot"
"15","1","Reasonable Suspicion","13082","243(A) PC - BATTERY ON PERSON (M) 13082","Other Reasonable Suspicion of a crime","Juv attacked mother"
"16","1","Traffic Violation","54141","21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141","Equipment Violation","NO BIKE LIGHT"
"17","1","Reasonable Suspicion","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002","Officer witnessed commission of a crime","SUBJECT WAS PARKED ON THE ISLAND AFTER HOURS"
"18","1","Reasonable Suspicion","66099","978.5 PC - BENCH WARRANT:FTA:FELONY (F) 66099","Witness or Victim identification of Suspect at the scene","felony warrant arrest"
"18","1","Reasonable Suspicion","66099","978.5 PC - BENCH WARRANT:FTA:FELONY (F) 66099","Matched suspect description","felony warrant arrest"
"19","1","Traffic Violation","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644","Equipment Violation","traffic stop for vehicle code violation."
"20","1","Reasonable Suspicion","13187","243(E) PC - BATTERY:SPOUSE/ETC (M) 13187","Matched suspect description","domestic violence"
"21","1","Reasonable Suspicion","35143","11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143","Other Reasonable Suspicion of a crime","WELFARE CHECK MALE SLEEPING IN ROAD"
"22","1","Traffic Violation","54480","38335 VC - HEADLAMP VIOLATION (I) 54480","Equipment Violation","lights were off during night time driving"
